,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,S01B11001e1,S02B09019e2,S07B15003e15,S07B15003e16,S07B15003e17,S07B15003e18,S07B15003e19,S07B15003e20,S07B15003e21,S07B15003e22,S07B15003e23,S07B15003e24,S07B15003e25,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,STATEFP,Shape__Area,Shape__Length,TRACTCE
48,3107345,0,2,059,S,060590639072,15000US060590639072,+33.6937673,-117.9159329,G5030,Block Group 2,1351,986,2473,0,0,113,0,113,258,131,785,215,87,92,2049,120,59,2414,2335,79,06,4500422.8203125,12677.4063692662,063907
49,1064491,0,3,059,S,060590639073,15000US060590639073,+33.6920135,-117.8933433,G5030,Block Group 3,1352,701,2109,0,0,303,15,47,446,156,397,160,58,16,1809,90,0,2109,2004,105,06,1541657.9375,6156.56655127883,063907
50,316364,0,3,059,S,060590639083,15000US060590639083,+33.6801072,-117.8888648,G5030,Block Group 3,1385,550,1226,0,0,190,0,51,143,155,252,56,12,14,1064,176,55,1171,1063,108,06,458049.66015625,2859.03757619801,063908
51,1821129,0,1,059,S,060590639041,15000US060590639041,+33.6701267,-117.9008298,G5030,Block Group 1,1402,409,1276,13,20,77,0,51,94,104,374,99,0,0,1061,27,28,1248,1196,52,06,2636137.046875,7445.25810494394,063904
52,11291839,145012,2,059,S,060590626102,15000US060590626102,+33.6691905,-117.8609131,G5030,Block Group 2,1505,4546,8429,60,28,602,17,199,633,294,3035,1108,380,138,8148,74,132,8297,8023,274,06,16554744.4882813,17219.065752314,062610
53,83621,0,3,059,S,060590639043,15000US060590639043,+33.6768292,-117.8989761,G5030,Block Group 3,1511,317,1377,70,7,95,20,31,69,0,97,0,23,0,993,12,28,1349,1158,96,06,121063.14453125,1482.85519600455,063904
54,270750,0,3,059,S,060590633013,15000US060590633013,+33.6337099,-117.9194814,G5030,Block Group 3,1532,367,628,10,0,138,10,16,71,36,251,58,0,0,640,7,28,600,559,0,06,391590.75,2647.342789031,063301
55,163251,0,2,059,S,060590637012,15000US060590637012,+33.6452131,-117.9298430,G5030,Block Group 2,1563,376,1300,0,8,148,58,24,145,47,60,0,0,0,988,32,139,1161,937,224,06,236173.6484375,1946.41044298807,063701
56,216124,0,5,059,S,060590637025,15000US060590637025,+33.6470989,-117.9204613,G5030,Block Group 5,1564,321,1064,0,0,297,7,0,46,108,127,60,0,0,948,9,0,1064,885,179,06,312682.125,2587.27061322222,063702
57,344982,0,2,059,S,060590631022,15000US060590631022,+33.6592712,-117.8953280,G5030,Block Group 2,1604,759,2197,0,0,191,0,75,357,104,397,221,28,54,1721,65,44,2153,2132,21,06,499245.81640625,3035.4136778238,063102
58,361410,0,1,059,S,060590626101,15000US060590626101,+33.6764170,-117.8488101,G5030,Block Group 1,1675,666,1130,0,19,73,0,39,147,0,428,26,94,54,1048,0,45,1085,1071,14,06,523228.921875,2970.08163520915,062610
