,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e10,E11B19001e11,E11B19001e12,E11B19001e13,E11B19001e14,E11B19001e15,E11B19001e16,E11B19001e17,E11B19001e2,E11B19001e3,E11B19001e4,E11B19001e5,E11B19001e6,E11B19001e7,E11B19001e8,E11B19001e9,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
59,1173861,9666,1,059,666,8,58,47,112,49,80,91,89,25,10,6,31,8,9,9,34,96417.0,80683700,179,148,96696.0,36905.0,43257.0,24402.0,393,S,060590636011,15000US060590636011,+33.6484875,-117.9440313,G5030,Block Group 1,1722,06,1712314.1171875,7268.98940085411,063601
60,411152,0,1,059,890,40,145,119,136,53,34,6,42,0,7,80,85,41,8,36,58,54362.0,68128700,86,31,50045.0,19493.0,22067.0,17721.0,848,S,060590638081,15000US060590638081,+33.6567655,-117.9289293,G5030,Block Group 1,1723,06,594962.3203125,4350.21680313886,063808
61,324708,0,2,059,664,19,35,107,131,108,21,52,10,53,19,32,30,0,10,37,0,71607.0,51359400,131,82,79300.0,29079.0,35724.0,25933.0,390,S,060590638082,15000US060590638082,+33.6543314,-117.9234419,G5030,Block Group 2,1724,06,469853.3671875,2912.03332017259,063808
62,946824,0,1,059,677,0,0,33,130,36,70,130,122,16,0,18,16,0,59,47,0,120208.0,88658800,168,107,135147.0,52396.0,65379.0,41496.0,562,S,060590639021,15000US060590639021,+33.6840828,-117.9138241,G5030,Block Group 1,1725,06,1370998.1796875,4821.01666278732,063902
63,203799,0,2,059,762,26,34,162,138,38,29,0,12,63,38,0,46,62,12,63,39,52353.0,44644900,56,0,44152.0,35035.0,27328.0,36944.0,357,S,060590639022,15000US060590639022,+33.6756026,-117.9169344,G5030,Block Group 2,1726,06,295042.26953125,2146.97082461495,063902
64,775763,0,1,059,541,37,13,60,50,99,58,55,23,10,8,7,20,34,29,14,24,87543.0,48860300,116,80,72540.0,30662.0,32670.0,22396.0,453,S,060590639031,15000US060590639031,+33.6800462,-117.8996871,G5030,Block Group 1,1727,06,1123196.64453125,5493.87015927376,063903
65,604461,0,2,059,548,18,28,16,117,59,36,60,149,30,0,9,0,13,0,13,0,113864.0,77410300,147,88,130063.0,51875.0,62652.0,35921.0,399,S,060590639032,15000US060590639032,+33.6848629,-117.9021898,G5030,Block Group 2,1728,06,875273.12890625,3991.99437531642,063903
66,580268,0,2,059,561,17,21,51,110,46,84,22,55,7,0,15,30,38,0,46,19,78068.0,63384700,155,72,76172.0,26493.0,46042.0,16016.0,409,S,060590639042,15000US060590639042,+33.6748410,-117.8928079,G5030,Block Group 2,1729,06,840044.1953125,4231.02151719862,063904
67,513888,0,1,059,532,27,32,20,104,44,82,50,96,12,0,0,0,10,15,30,10,103750.0,65804100,68,63,101042.0,41866.0,54107.0,38969.0,407,S,060590639051,15000US060590639051,+33.6655703,-117.9139178,G5030,Block Group 1,1730,06,743790.3671875,3783.59543925742,063905
68,295853,0,2,059,538,24,50,69,87,68,80,0,33,0,41,26,0,0,32,21,7,74947.0,46941100,40,0,73750.0,45391.0,53164.0,,210,S,060590639052,15000US060590639052,+33.6594019,-117.9171290,G5030,Block Group 2,1731,06,428150.640625,2969.17612508978,063905
69,325623,0,1,059,890,72,36,104,178,116,30,64,33,76,14,0,11,0,93,63,0,66563.0,74482000,113,16,69444.0,31485.0,31869.0,27336.0,470,S,060590639061,15000US060590639061,+33.6540480,-117.9132833,G5030,Block Group 1,1732,06,471176.0703125,4130.307669091,063906
70,111446,0,2,059,488,0,105,53,55,30,40,18,0,0,83,17,0,24,23,40,0,53357.0,29600200,51,33,53071.0,20943.0,32059.0,15673.0,254,S,060590639062,15000US060590639062,+33.6553294,-117.9132600,G5030,Block Group 2,1733,06,161266.4453125,1817.26177064177,063906
71,625083,0,3,059,931,44,10,143,161,131,91,42,14,80,0,0,29,60,77,0,49,70795.0,71901100,121,119,60814.0,32212.0,31538.0,38636.0,586,S,060590639063,15000US060590639063,+33.6601360,-117.9041334,G5030,Block Group 3,1734,06,904613.71875,4487.18419549531,063906
72,835355,0,3,059,474,0,29,30,54,41,0,71,0,68,26,0,12,36,44,33,30,44000.0,29781700,103,0,34792.0,23793.0,,21513.0,213,S,060590639023,15000US060590639023,+33.6713146,-117.9129663,G5030,Block Group 3,1804,06,1209237.2265625,4531.54036539093,063902
73,426535,0,4,059,632,65,11,78,133,37,96,89,13,13,0,37,11,0,0,49,0,79153.0,58369900,89,83,79389.0,34906.0,48671.0,22076.0,370,S,060590639024,15000US060590639024,+33.6781853,-117.9129197,G5030,Block Group 4,1805,06,617534.546875,3772.65363544421,063902
74,548656,0,3,059,613,15,17,61,55,51,42,63,109,18,8,18,25,19,77,20,15,90417.0,64527400,299,205,95750.0,53594.0,55950.0,49018.0,371,S,060590639053,15000US060590639053,+33.6600313,-117.9114501,G5030,Block Group 3,1807,06,794013.859375,3692.44528688203,063905
75,485396,0,4,059,934,22,150,117,242,171,58,10,12,40,0,0,54,0,0,35,23,77321.0,75275100,0,0,53793.0,56108.0,56155.0,54250.0,206,S,060590639084,15000US060590639084,+33.6788131,-117.8833480,G5030,Block Group 4,1813,06,702767.89453125,3831.79598082643,063908
