,ALAND,AWATER,BLKGRPCE,COUNTYFP,D01B01001e1,D01B01001e10,D01B01001e11,D01B01001e12,D01B01001e13,D01B01001e14,D01B01001e15,D01B01001e16,D01B01001e17,D01B01001e18,D01B01001e19,D01B01001e2,D01B01001e20,D01B01001e21,D01B01001e22,D01B01001e23,D01B01001e24,D01B01001e25,D01B01001e26,D01B01001e31,D01B01001e32,D01B01001e33,D01B01001e34,D01B01001e35,D01B01001e36,D01B01001e37,D01B01001e38,D01B01001e39,D01B01001e40,D01B01001e41,D01B01001e42,D01B01001e43,D01B01001e44,D01B01001e45,D01B01001e46,D01B01001e47,D01B01001e48,D01B01001e49,D01B01001e7,D01B01001e8,D01B01001e9,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
20,488673,0,2,059,1049,50,61,51,41,92,76,11,8,31,0,563,27,10,14,9,0,8,486,8,0,11,13,111,8,17,109,41,21,30,0,23,0,0,32,9,0,0,23,9,0,44.1,,,42.7,,26.9,19.9,44.0,37.6,42.0,40.2,42.5,1049,793,0,7,53,0,152,44,1049,S,060590636012,15000US060590636012,+33.6475670,-117.9348143,G5030,Block Group 2,1215,06,707002.64453125,4618.91120720915,063601
21,160457,0,3,059,765,24,30,8,0,32,10,89,18,10,11,419,0,0,0,10,0,9,346,0,0,0,10,26,8,25,17,31,110,10,10,0,10,0,11,18,0,0,11,0,11,43.5,,,27.0,,,,49.6,26.1,43.5,26.6,49.6,765,686,31,0,39,0,0,9,765,S,060590636013,15000US060590636013,+33.6455814,-117.9434765,G5030,Block Group 3,1216,06,232134.95703125,1972.1569290477,063601
22,485775,0,1,059,1667,49,119,55,96,54,149,9,0,0,0,862,0,0,11,0,17,19,805,14,0,0,11,83,94,102,31,65,67,0,0,0,0,22,20,17,0,42,8,0,5,39.6,,3.8,44.1,,29.4,24.6,45.8,29.4,30.6,29.4,33.0,1667,464,0,59,72,0,1004,68,1667,S,060590636041,15000US060590636041,+33.6379091,-117.9340825,G5030,Block Group 1,1220,06,702654.6953125,3875.97794923857,063604
23,715930,0,2,059,2708,86,128,113,154,28,139,69,101,28,84,1423,91,37,95,8,8,0,1285,14,32,6,70,151,51,51,82,84,47,66,18,98,25,73,35,16,19,8,31,6,0,40.8,,,58.2,,27.5,6.4,49.8,26.3,37.8,39.6,33.1,2708,1953,11,0,168,0,484,92,2708,S,060590636042,15000US060590636042,+33.6386121,-117.9396628,G5030,Block Group 2,1221,06,1035578.00390625,4264.05311608819,063604
24,161956,0,1,059,1536,101,138,66,66,71,107,49,29,0,0,995,0,0,0,16,0,0,541,0,26,47,35,15,29,63,0,36,77,99,9,12,11,0,0,0,0,0,47,15,0,35.0,,,,,24.3,15.4,33.3,27.9,28.7,26.8,37.8,1536,747,0,0,17,0,733,39,1536,S,060590636051,15000US060590636051,+33.6415735,-117.9297892,G5030,Block Group 1,1222,06,234282.6875,1935.89662239452,063605
25,549540,0,2,059,1812,82,75,77,126,93,31,106,55,32,13,969,5,11,6,0,7,53,843,19,0,0,34,54,89,94,79,56,54,8,0,24,11,0,23,29,0,20,39,6,7,34.0,,,35.5,,38.8,13.4,33.3,37.2,35.7,36.8,33.2,1812,1325,36,0,47,10,339,55,1812,S,060590636052,15000US060590636052,+33.6375103,-117.9252311,G5030,Block Group 2,1223,06,794877.5078125,4493.65466100866,063605
26,323943,0,3,059,2135,63,129,165,127,92,74,21,42,13,14,1279,9,0,22,0,6,0,856,46,8,7,19,64,73,88,81,50,85,16,0,0,4,7,23,26,0,0,44,24,27,30.0,,,,7.7,27.6,,49.3,27.4,27.8,27.0,31.6,2135,1135,7,0,0,55,926,12,2135,S,060590636053,15000US060590636053,+33.6361313,-117.9297228,G5030,Block Group 3,1224,06,468550.32421875,2906.18393881515,063605
27,217142,0,1,059,889,28,4,75,5,9,28,11,15,0,7,365,0,12,23,0,12,0,524,34,0,0,3,23,11,31,23,60,17,33,14,0,12,40,58,42,12,9,26,43,0,40.9,,,73.2,,19.6,,60.5,34.4,39.8,30.8,47.3,889,680,5,0,46,0,144,14,889,S,060590637011,15000US060590637011,+33.6470647,-117.9262440,G5030,Block Group 1,1225,06,314152.71875,2594.81223789517,063701
28,161131,0,3,059,1738,16,150,58,25,19,73,34,55,0,0,933,16,0,0,0,0,19,805,47,0,26,67,136,107,63,24,89,4,47,18,0,16,0,0,0,12,0,8,5,28,28.9,,,56.7,,18.8,,28.9,21.9,27.0,21.9,29.6,1738,691,0,0,70,0,953,24,1738,S,060590637013,15000US060590637013,+33.6516163,-117.9234155,G5030,Block Group 3,1226,06,233141.90625,2417.41164755492,063701
29,241164,0,4,059,1949,62,93,74,49,56,48,39,22,0,0,807,18,0,30,0,0,0,1142,0,0,28,64,155,124,79,69,57,42,12,29,42,0,54,35,0,0,12,13,20,0,30.4,13.5,,,,27.2,28.4,36.4,26.8,28.3,27.9,29.2,1949,960,49,0,38,0,789,113,1949,S,060590637014,15000US060590637014,+33.6497308,-117.9299022,G5030,Block Group 4,1227,06,348927.734375,2418.15694901507,063701
